CONSULTANT,DEALER,DEALER PROGRAM,DIST,"Month, Year of SurveyDate",NATL,REGION CODE,Avg. TIMELINESS_RATING_SCORE,Count of TIMELINESS_RATING_SCORE
Non-Prog,IA016 STEW HANSEN HYUNDAI,Non-Prog,CEA,February 2018,NL,CE,3.266666667,30
Non-Prog,IA018 MCGRATH HYUNDAI OF DUBUQUE,Non-Prog,CEA,January 2018,NL,CE,2,1
Non-Prog,IA019 MCGRATH HYUNDAI OF CEDAR RAPID,Non-Prog,CEA,January 2018,NL,CE,3.166666667,6
Non-Prog,IA019 MCGRATH HYUNDAI OF CEDAR RAPID,Non-Prog,CEA,February 2018,NL,CE,4.166666667,6
Non-Prog,IL018 GREEN HYUNDAI,Non-Prog,CEA,January 2018,NL,CE,2.925,40
Non-Prog,IL018 GREEN HYUNDAI,Non-Prog,CEA,February 2018,NL,CE,3.0625,48
Non-Prog,IL028 CARMACK HYUNDAI,Non-Prog,CEA,January 2018,NL,CE,3,2
Non-Prog,IL028 CARMACK HYUNDAI,Non-Prog,CEA,February 2018,NL,CE,3.5,2
Non-Prog,IL030 MIKE MILLER HYUNDAI,Non-Prog,CEA,January 2018,NL,CE,3.25,4
Non-Prog,IL030 MIKE MILLER HYUNDAI,Non-Prog,CEA,February 2018,NL,CE,3.6,10
Non-Prog,IL036 K.C. SUMMERS HYUNDAI,Non-Prog,CEA,January 2018,NL,CE,4,1
Non-Prog,IL036 K.C. SUMMERS HYUNDAI,Non-Prog,CEA,February 2018,NL,CE,3,1
Non-Prog,IL050 BOB BRADY HYUNDAI,Non-Prog,CEA,January 2018,NL,CE,3,4
